Batch change
Module name, Device, Current value, Display format, Comment
Global,R1512,-,1-bit BIN,
Global,R1513,-,1-bit BIN,
Global,R1514,-,1-bit BIN,
Global,R1515,-,1-bit BIN,
Global,R1600,-,1-bit BIN,
Global,R1601,-,1-bit BIN,
Global,R1602,-,1-bit BIN,
Global,R1603,-,1-bit BIN,
Global,R1604,-,1-bit BIN,
Global,R1605,-,1-bit BIN,
Global,R1606,-,1-bit BIN,
Global,R1607,-,1-bit BIN,
Global,R1608,-,1-bit BIN,
Global,R1609,-,1-bit BIN,
Global,R1610,-,1-bit BIN,
Global,R1611,-,1-bit BIN,
Global,R1612,-,1-bit BIN,
Global,R1613,-,1-bit BIN,
Global,R1614,-,1-bit BIN,
Global,R1615,-,1-bit BIN,
Global,R1700,-,1-bit BIN,
Global,R1701,-,1-bit BIN,
Global,R1702,-,1-bit BIN,
Global,R1703,-,1-bit BIN,
Global,R1704,-,1-bit BIN,
Global,R1705,-,1-bit BIN,
Global,R1706,-,1-bit BIN,
Global,R1707,-,1-bit BIN,
Global,R1708,-,1-bit BIN,
Global,R1709,-,1-bit BIN,
Global,R1710,-,1-bit BIN,
Global,R1711,-,1-bit BIN,
Global,R1712,-,1-bit BIN,
Global,R1713,-,1-bit BIN,
Global,R1714,-,1-bit BIN,
Global,R1715,-,1-bit BIN,
Global,R1800,-,1-bit BIN,
Global,R1801,-,1-bit BIN,
Global,R1802,-,1-bit BIN,
Global,R1803,-,1-bit BIN,
Global,R1804,-,1-bit BIN,
Global,R1805,-,1-bit BIN,
Global,R1806,-,1-bit BIN,
Global,R1807,-,1-bit BIN,
Global,R1808,-,1-bit BIN,
Global,R1809,-,1-bit BIN,
Global,R1810,-,1-bit BIN,
Global,R1811,-,1-bit BIN,
Global,R1812,-,1-bit BIN,
Global,R1813,-,1-bit BIN,
Global,R1814,-,1-bit BIN,
Global,R1815,-,1-bit BIN,
Global,R1900,-,1-bit BIN,
Global,R1901,-,1-bit BIN,
Global,R1902,-,1-bit BIN,
Global,R1903,-,1-bit BIN,
Global,R1904,-,1-bit BIN,
Global,R1905,-,1-bit BIN,
Global,R1906,-,1-bit BIN,
Global,R1907,-,1-bit BIN,
Global,R1908,-,1-bit BIN,
Global,R1909,-,1-bit BIN,
Global,R1910,-,1-bit BIN,
Global,R1911,-,1-bit BIN,
Global,R1912,-,1-bit BIN,
Global,R1913,-,1-bit BIN,
Global,R1914,-,1-bit BIN,
Global,R1915,-,1-bit BIN,
Global,R2000,-,1-bit BIN,
Global,R2001,-,1-bit BIN,
Global,R2002,-,1-bit BIN,
Global,R2003,-,1-bit BIN,
Global,R2004,-,1-bit BIN,
Global,R2005,-,1-bit BIN,
Global,R2006,-,1-bit BIN,
Global,R2007,-,1-bit BIN,
Global,R2008,-,1-bit BIN,
Global,R2009,-,1-bit BIN,
Global,R2010,-,1-bit BIN,
Global,R2011,-,1-bit BIN,
Global,R2012,-,1-bit BIN,
Global,R2013,-,1-bit BIN,
Global,R2014,-,1-bit BIN,
Global,R2015,-,1-bit BIN,
Global,R2100,-,1-bit BIN,
Global,R2101,-,1-bit BIN,
Global,R2102,-,1-bit BIN,
Global,R2103,-,1-bit BIN,
Global,R2104,-,1-bit BIN,
Global,R2105,-,1-bit BIN,
Global,R2106,-,1-bit BIN,
Global,R2107,-,1-bit BIN,
Global,R2108,-,1-bit BIN,
Global,R2109,-,1-bit BIN,
Global,R2110,-,1-bit BIN,
Global,R2111,-,1-bit BIN,
Global,R2112,-,1-bit BIN,
Global,R2113,-,1-bit BIN,
Global,R2114,-,1-bit BIN,
Global,R2115,-,1-bit BIN,
Global,R2200,-,1-bit BIN,
Global,R2201,-,1-bit BIN,
Global,R2202,-,1-bit BIN,
Global,R2203,-,1-bit BIN,
Global,R2204,-,1-bit BIN,
Global,R2205,-,1-bit BIN,
Global,R2206,-,1-bit BIN,
Global,R2207,-,1-bit BIN,
Global,R2208,-,1-bit BIN,
Global,R2209,-,1-bit BIN,
Global,R2210,-,1-bit BIN,
Global,R2211,-,1-bit BIN,
Global,R2212,-,1-bit BIN,
Global,R2213,-,1-bit BIN,
Global,R2214,-,1-bit BIN,
Global,R2215,-,1-bit BIN,
Global,R2300,-,1-bit BIN,
Global,R2301,-,1-bit BIN,
Global,R2302,-,1-bit BIN,
Global,R2303,-,1-bit BIN,
Global,R2304,-,1-bit BIN,
Global,R2305,-,1-bit BIN,
Global,R2306,-,1-bit BIN,
Global,R2307,-,1-bit BIN,
Global,R2308,-,1-bit BIN,
Global,R2309,-,1-bit BIN,
Global,R2310,-,1-bit BIN,
Global,R2311,-,1-bit BIN,
Global,R2312,-,1-bit BIN,
Global,R2313,-,1-bit BIN,
Global,R2314,-,1-bit BIN,
Global,R2315,-,1-bit BIN,
Global,R2400,-,1-bit BIN,
Global,R2401,-,1-bit BIN,
Global,R2402,-,1-bit BIN,
Global,R2403,-,1-bit BIN,
Global,R2404,-,1-bit BIN,
Global,R2405,-,1-bit BIN,
Global,R2406,-,1-bit BIN,
Global,R2407,-,1-bit BIN,
Global,R2408,-,1-bit BIN,
Global,R2409,-,1-bit BIN,
Global,R2410,-,1-bit BIN,
Global,R2411,-,1-bit BIN,
Global,R2412,-,1-bit BIN,
Global,R2413,-,1-bit BIN,
Global,R2414,-,1-bit BIN,
Global,R2415,-,1-bit BIN,
Global,R2500,-,1-bit BIN,
Global,R2501,-,1-bit BIN,
Global,R2502,-,1-bit BIN,
Global,R2503,-,1-bit BIN,
Global,R2504,-,1-bit BIN,
Global,R2505,-,1-bit BIN,
Global,R2506,-,1-bit BIN,
Global,R2507,-,1-bit BIN,
Global,R2508,-,1-bit BIN,
Global,R2509,-,1-bit BIN,
Global,R2510,-,1-bit BIN,
Global,R2511,-,1-bit BIN,
Global,R2512,-,1-bit BIN,
Global,R2513,-,1-bit BIN,
Global,R2514,-,1-bit BIN,
Global,R2515,-,1-bit BIN,
Global,R2600,-,1-bit BIN,
Global,R2601,-,1-bit BIN,
Global,R2602,-,1-bit BIN,
Global,R2603,-,1-bit BIN,
Global,R2604,-,1-bit BIN,
Global,R2605,-,1-bit BIN,
Global,R2606,-,1-bit BIN,
Global,R2607,-,1-bit BIN,
Global,R2608,-,1-bit BIN,
Global,R2609,-,1-bit BIN,
Global,R2610,-,1-bit BIN,
Global,R2611,-,1-bit BIN,
Global,R2612,-,1-bit BIN,
Global,R2613,-,1-bit BIN,
Global,R2614,-,1-bit BIN,
Global,R2615,-,1-bit BIN,
Global,R2700,-,1-bit BIN,
Global,R2701,-,1-bit BIN,
Global,R2702,-,1-bit BIN,
Global,R2703,-,1-bit BIN,
Global,R2704,-,1-bit BIN,
Global,R2705,-,1-bit BIN,
Global,R2706,-,1-bit BIN,
Global,R2707,-,1-bit BIN,
Global,R2708,-,1-bit BIN,
Global,R2709,-,1-bit BIN,
Global,R2710,-,1-bit BIN,
Global,R2711,-,1-bit BIN,
Global,R2712,-,1-bit BIN,
Global,R2713,-,1-bit BIN,
Global,R2714,-,1-bit BIN,
Global,R2715,-,1-bit BIN,
Global,R2800,-,1-bit BIN,
Global,R2801,-,1-bit BIN,
Global,R2802,-,1-bit BIN,
Global,R2803,-,1-bit BIN,
Global,R2804,-,1-bit BIN,
Global,R2805,-,1-bit BIN,
Global,R2806,-,1-bit BIN,
Global,R2807,-,1-bit BIN,
Global,R2808,-,1-bit BIN,
Global,R2809,-,1-bit BIN,
Global,R2810,-,1-bit BIN,
Global,R2811,-,1-bit BIN,
Global,R2812,-,1-bit BIN,
Global,R2813,-,1-bit BIN,
Global,R2814,-,1-bit BIN,
Global,R2815,-,1-bit BIN,
Global,R2900,-,1-bit BIN,
Global,R2901,-,1-bit BIN,
Global,R2902,-,1-bit BIN,
Global,R2903,-,1-bit BIN,
Global,R2904,-,1-bit BIN,
Global,R2905,-,1-bit BIN,
Global,R2906,-,1-bit BIN,
Global,R2907,-,1-bit BIN,
Global,R2908,-,1-bit BIN,
Global,R2909,-,1-bit BIN,
Global,R2910,-,1-bit BIN,
Global,R2911,-,1-bit BIN,
Global,R2912,-,1-bit BIN,
Global,R2913,-,1-bit BIN,
Global,R2914,-,1-bit BIN,
Global,R2915,-,1-bit BIN,
Global,R3000,-,1-bit BIN,
Global,R3001,-,1-bit BIN,
Global,R3002,-,1-bit BIN,
Global,R3003,-,1-bit BIN,
Global,R3004,-,1-bit BIN,
Global,R3005,-,1-bit BIN,
Global,R3006,-,1-bit BIN,
Global,R3007,-,1-bit BIN,
Global,R3008,-,1-bit BIN,
Global,R3009,-,1-bit BIN,
Global,R3010,-,1-bit BIN,
Global,R3011,-,1-bit BIN,
Global,R3012,-,1-bit BIN,
Global,R3013,-,1-bit BIN,
Global,R3014,-,1-bit BIN,
Global,R3015,-,1-bit BIN,
Global,R3100,-,1-bit BIN,
Global,R3101,-,1-bit BIN,
Global,R3102,-,1-bit BIN,
Global,R3103,-,1-bit BIN,
Global,R3104,-,1-bit BIN,
Global,R3105,-,1-bit BIN,
Global,R3106,-,1-bit BIN,
Global,R3107,-,1-bit BIN,
Global,R3108,-,1-bit BIN,
Global,R3109,-,1-bit BIN,
Global,R3110,-,1-bit BIN,
Global,R3111,-,1-bit BIN,
Global,R3112,-,1-bit BIN,
Global,R3113,-,1-bit BIN,
Global,R3114,-,1-bit BIN,
Global,R3115,-,1-bit BIN,
Global,R3200,-,1-bit BIN,
Global,R3201,-,1-bit BIN,
Global,R3202,-,1-bit BIN,
Global,R3203,-,1-bit BIN,
Global,R3204,-,1-bit BIN,
Global,R3205,-,1-bit BIN,
Global,R3206,-,1-bit BIN,
Global,R3207,-,1-bit BIN,
Global,R3208,-,1-bit BIN,
Global,R3209,-,1-bit BIN,
Global,R3210,-,1-bit BIN,
Global,R3211,-,1-bit BIN,
Global,R3212,-,1-bit BIN,
Global,R3213,-,1-bit BIN,
Global,R3214,-,1-bit BIN,
Global,R3215,-,1-bit BIN,
Global,R3300,-,1-bit BIN,
Global,R3301,-,1-bit BIN,
Global,R3302,-,1-bit BIN,
Global,R3303,-,1-bit BIN,
Global,R3304,-,1-bit BIN,
Global,R3305,-,1-bit BIN,
Global,R3306,-,1-bit BIN,
Global,R3307,-,1-bit BIN,
Global,R3308,-,1-bit BIN,
Global,R3309,-,1-bit BIN,
Global,R3310,-,1-bit BIN,
Global,R3311,-,1-bit BIN,
Global,R3312,-,1-bit BIN,
Global,R3313,-,1-bit BIN,
Global,R3314,-,1-bit BIN,
Global,R3315,-,1-bit BIN,
Global,R3400,-,1-bit BIN,
Global,R3401,-,1-bit BIN,
Global,R3402,-,1-bit BIN,
Global,R3403,-,1-bit BIN,
Global,R3404,-,1-bit BIN,
Global,R3405,-,1-bit BIN,
Global,R3406,-,1-bit BIN,
Global,R3407,-,1-bit BIN,
Global,R3408,-,1-bit BIN,
Global,R3409,-,1-bit BIN,
Global,R3410,-,1-bit BIN,
Global,R3411,-,1-bit BIN,
Global,R3412,-,1-bit BIN,
Global,R3413,-,1-bit BIN,
Global,R3414,-,1-bit BIN,
Global,R3415,-,1-bit BIN,
Global,R3500,-,1-bit BIN,
Global,R3501,-,1-bit BIN,
Global,R3502,-,1-bit BIN,
Global,R3503,-,1-bit BIN,
Global,R3504,-,1-bit BIN,
Global,R3505,-,1-bit BIN,
Global,R3506,-,1-bit BIN,
Global,R3507,-,1-bit BIN,
Global,R3508,-,1-bit BIN,
Global,R3509,-,1-bit BIN,
Global,R3510,-,1-bit BIN,
Global,R3511,-,1-bit BIN,
Global,R3512,-,1-bit BIN,
Global,R3513,-,1-bit BIN,
Global,R3514,-,1-bit BIN,
Global,R3515,-,1-bit BIN,
Global,R3600,-,1-bit BIN,
Global,R3601,-,1-bit BIN,
Global,R3602,-,1-bit BIN,
Global,R3603,-,1-bit BIN,
Global,R3604,-,1-bit BIN,
Global,R3605,-,1-bit BIN,
Global,R3606,-,1-bit BIN,
Global,R3607,-,1-bit BIN,
Global,R3608,-,1-bit BIN,
Global,R3609,-,1-bit BIN,
Global,R3610,-,1-bit BIN,
Global,R3611,-,1-bit BIN,
Global,R3612,-,1-bit BIN,
Global,R3613,-,1-bit BIN,
Global,R3614,-,1-bit BIN,
Global,R3615,-,1-bit BIN,
Global,R3700,-,1-bit BIN,
Global,R3701,-,1-bit BIN,
Global,R3702,-,1-bit BIN,
Global,R3703,-,1-bit BIN,
Global,R3704,-,1-bit BIN,
Global,R3705,-,1-bit BIN,
Global,R3706,-,1-bit BIN,
Global,R3707,-,1-bit BIN,
Global,R3708,-,1-bit BIN,
Global,R3709,-,1-bit BIN,
Global,R3710,-,1-bit BIN,
Global,R3711,-,1-bit BIN,
Global,R3712,-,1-bit BIN,
Global,R3713,-,1-bit BIN,
Global,R3714,-,1-bit BIN,
Global,R3715,-,1-bit BIN,
Global,R3800,-,1-bit BIN,
Global,R3801,-,1-bit BIN,
Global,R3802,-,1-bit BIN,
Global,R3803,-,1-bit BIN,
Global,R3804,-,1-bit BIN,
Global,R3805,-,1-bit BIN,
Global,R3806,-,1-bit BIN,
Global,R3807,-,1-bit BIN,
Global,R3808,-,1-bit BIN,
Global,R3809,-,1-bit BIN,
Global,R3810,-,1-bit BIN,
Global,R3811,-,1-bit BIN,
Global,R3812,-,1-bit BIN,
Global,R3813,-,1-bit BIN,
Global,R3814,-,1-bit BIN,
Global,R3815,-,1-bit BIN,
Global,R3900,-,1-bit BIN,
Global,R3901,-,1-bit BIN,
Global,R3902,-,1-bit BIN,
Global,R3903,-,1-bit BIN,
Global,R3904,-,1-bit BIN,
Global,R3905,-,1-bit BIN,
Global,R3906,-,1-bit BIN,
Global,R3907,-,1-bit BIN,
Global,R3908,-,1-bit BIN,
Global,R3909,-,1-bit BIN,
Global,R3910,-,1-bit BIN,
Global,R3911,-,1-bit BIN,
Global,R3912,-,1-bit BIN,
Global,R3913,-,1-bit BIN,
Global,R3914,-,1-bit BIN,
Global,R3915,-,1-bit BIN,
Global,R4000,-,1-bit BIN,
Global,R4001,-,1-bit BIN,
Global,R4002,-,1-bit BIN,
Global,R4003,-,1-bit BIN,
Global,R4004,-,1-bit BIN,
Global,R4005,-,1-bit BIN,
Global,R4006,-,1-bit BIN,
Global,R4007,-,1-bit BIN,
Global,R4008,-,1-bit BIN,
Global,R4009,-,1-bit BIN,
Global,R4010,-,1-bit BIN,
Global,R4011,-,1-bit BIN,
Global,R4012,-,1-bit BIN,
Global,R4013,-,1-bit BIN,
Global,R4014,-,1-bit BIN,
Global,R4015,-,1-bit BIN,
Global,R4100,-,1-bit BIN,
Global,R4101,-,1-bit BIN,
Global,R4102,-,1-bit BIN,
Global,R4103,-,1-bit BIN,
Global,R4104,-,1-bit BIN,
Global,R4105,-,1-bit BIN,
Global,R4106,-,1-bit BIN,
Global,R4107,-,1-bit BIN,
Global,R4108,-,1-bit BIN,
Global,R4109,-,1-bit BIN,
Global,R4110,-,1-bit BIN,
Global,R4111,-,1-bit BIN,
Global,R4112,-,1-bit BIN,
Global,R4113,-,1-bit BIN,
Global,R4114,-,1-bit BIN,
Global,R4115,-,1-bit BIN,
Global,R4200,-,1-bit BIN,
Global,R4201,-,1-bit BIN,
Global,R4202,-,1-bit BIN,
Global,R4203,-,1-bit BIN,
Global,R4204,-,1-bit BIN,
Global,R4205,-,1-bit BIN,
Global,R4206,-,1-bit BIN,
Global,R4207,-,1-bit BIN,
Global,R4208,-,1-bit BIN,
Global,R4209,-,1-bit BIN,
Global,R4210,-,1-bit BIN,
Global,R4211,-,1-bit BIN,
Global,R4212,-,1-bit BIN,
Global,R4213,-,1-bit BIN,
Global,R4214,-,1-bit BIN,
Global,R4215,-,1-bit BIN,
Global,R4300,-,1-bit BIN,
Global,R4301,-,1-bit BIN,
Global,R4302,-,1-bit BIN,
Global,R4303,-,1-bit BIN,
Global,R4304,-,1-bit BIN,
Global,R4305,-,1-bit BIN,
Global,R4306,-,1-bit BIN,
Global,R4307,-,1-bit BIN,
Global,R4308,-,1-bit BIN,
Global,R4309,-,1-bit BIN,
Global,R4310,-,1-bit BIN,
Global,R4311,-,1-bit BIN,
Global,R4312,-,1-bit BIN,
Global,R4313,-,1-bit BIN,
Global,R4314,-,1-bit BIN,
Global,R4315,-,1-bit BIN,
Global,R4400,-,1-bit BIN,
Global,R4401,-,1-bit BIN,
Global,R4402,-,1-bit BIN,
Global,R4403,-,1-bit BIN,
Global,R4404,-,1-bit BIN,
Global,R4405,-,1-bit BIN,
Global,R4406,-,1-bit BIN,
Global,R4407,-,1-bit BIN,
Global,R4408,-,1-bit BIN,
Global,R4409,-,1-bit BIN,
Global,R4410,-,1-bit BIN,
Global,R4411,-,1-bit BIN,
Global,R4412,-,1-bit BIN,
Global,R4413,-,1-bit BIN,
Global,R4414,-,1-bit BIN,
Global,R4415,-,1-bit BIN,
Global,R4500,-,1-bit BIN,
Global,R4501,-,1-bit BIN,
Global,R4502,-,1-bit BIN,
Global,R4503,-,1-bit BIN,
Global,R4504,-,1-bit BIN,
Global,R4505,-,1-bit BIN,
Global,R4506,-,1-bit BIN,
Global,R4507,-,1-bit BIN,
Global,R4508,-,1-bit BIN,
Global,R4509,-,1-bit BIN,
Global,R4510,-,1-bit BIN,
Global,R4511,-,1-bit BIN,
Global,R4512,-,1-bit BIN,
Global,R4513,-,1-bit BIN,
Global,R4514,-,1-bit BIN,
Global,R4515,-,1-bit BIN,
Global,R4600,-,1-bit BIN,
Global,R4601,-,1-bit BIN,
Global,R4602,-,1-bit BIN,
Global,R4603,-,1-bit BIN,
Global,R4604,-,1-bit BIN,
Global,R4605,-,1-bit BIN,
Global,R4606,-,1-bit BIN,
Global,R4607,-,1-bit BIN,
Global,R4608,-,1-bit BIN,
Global,R4609,-,1-bit BIN,
Global,R4610,-,1-bit BIN,
Global,R4611,-,1-bit BIN,
Global,R4612,-,1-bit BIN,
Global,R4613,-,1-bit BIN,
Global,R4614,-,1-bit BIN,
Global,R4615,-,1-bit BIN,
Global,R4700,-,1-bit BIN,
Global,R4701,-,1-bit BIN,
Global,R4702,-,1-bit BIN,
Global,R4703,-,1-bit BIN,
Global,R4704,-,1-bit BIN,
Global,R4705,-,1-bit BIN,
Global,R4706,-,1-bit BIN,
Global,R4707,-,1-bit BIN,
Global,R4708,-,1-bit BIN,
Global,R4709,-,1-bit BIN,
Global,R4710,-,1-bit BIN,
Global,R4711,-,1-bit BIN,
Global,R4712,-,1-bit BIN,
Global,R4713,-,1-bit BIN,
Global,R4714,-,1-bit BIN,
Global,R4715,-,1-bit BIN,
Global,R4800,-,1-bit BIN,
Global,R4801,-,1-bit BIN,
Global,R4802,-,1-bit BIN,
Global,R4803,-,1-bit BIN,
Global,R4804,-,1-bit BIN,
Global,R4805,-,1-bit BIN,
Global,R4806,-,1-bit BIN,
Global,R4807,-,1-bit BIN,
Global,R4808,-,1-bit BIN,
Global,R4809,-,1-bit BIN,
Global,R4810,-,1-bit BIN,
Global,R4811,-,1-bit BIN,
Global,R4812,-,1-bit BIN,
Global,R4813,-,1-bit BIN,
Global,R4814,-,1-bit BIN,
Global,R4815,-,1-bit BIN,
